Chave= dinovo; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= arrepender; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= obaaaaaaaaaaaaa; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= amanha; Valor= 0; Escore Total= 8.0; Número de vezes em que aparece= 16
Chave= barcelona; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 2
Chave= centro; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= rsss; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= encosto; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= seila; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= phone; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= curtindootrampo; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= produzir; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= navegador; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= dez; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= naquela; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= razao; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= tuitando; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= decepsionaram; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= milan; Valor= 0; Escore Total= -1.0; Número de vezes em que aparece= 3
Chave= aproveitar; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= mario; Valor= 0; Escore Total= 6.0; Número de vezes em que aparece= 8
Chave= confiram; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= rodar; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= greenpeace; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= colegios; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= etapa; Valor= 0; Escore Total= 4.0; Número de vezes em que aparece= 5
Chave= breja; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= carregador; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= dvdr; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= mid; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= halloween; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= arrumar; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= conf; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= vendemos; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= achei; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 3
Chave= kinect; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 3
Chave= junto; Valor= -1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= sata; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= ludor; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= trampo; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= sumirto; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= gravar; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= binoculos; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= encontrar; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= falhas; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= trilhoes; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= mil; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= birdman; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= mim; Valor= 0; Escore Total= 10.0; Número de vezes em que aparece= 12
Chave= bjbj; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= abertas; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= puuuuuuta; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= anciosa; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= oficialflu; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= meus; Valor= 0; Escore Total= 2.0; Número de vezes em que aparece= 8
Chave= gravam; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= vespa; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= interclasses; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= facebook; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 3
Chave= meuu; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= aqui; Valor= 0; Escore Total= 9.0; Número de vezes em que aparece= 24
Chave= beijo; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= vagas; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= cont; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 2
Chave= deitar; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= corpo; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= qualidade; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= sortear; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 6
Chave= calvin; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= vlw; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= aguentar; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= viciei; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= comunidades; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= troquei; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= deles; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 3
Chave= farria; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= desejas; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= chacara; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= executivo; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= maratona; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= stratos; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= dispositivos; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= dentista; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= sozinho; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= golpe; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= bigfollow; Valor= 1; Escore Total= 3.0; Número de vezes em que aparece= 3
Chave= vmb; Valor= -1; Escore Total= -2.0; Número de vezes em que aparece= 2
Chave= mtooo; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= conta; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 4
Chave= suaavee; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= demais; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= porgol; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= notbook; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= brasilia; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= conhecer; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= cancer; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= brazil; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= baque; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= executive; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= oxii; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= diahj; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= calorrrrr; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= serialkiller; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= midia; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= camera; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 12
Chave= colegas; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= deslocacao; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= ctup; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= lab; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= eps; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= especial; Valor= 0; Escore Total= 3.0; Número de vezes em que aparece= 4
Chave= pessoa; Valor= 1; Escore Total= 5.0; Número de vezes em que aparece= 6
Chave= sera; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 6
Chave= ajudar; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 2
Chave= japao; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= previsao; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= mercado; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 3
Chave= sabem; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= cinema; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= feriadinho; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= alimentares; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= divertido; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= roxo; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= obrigacaouma; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= lah; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= agradecer; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= caminhar; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= jogar; Valor= 0; Escore Total= 2.0; Número de vezes em que aparece= 15
Chave= ouve; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= senta; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= loooooco; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= saber; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= piscina; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= pretende; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= epoca; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= pecesiqueira; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= cromadas; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= pensava; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= flex; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= fechar; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= mendes; Valor= -1; Escore Total= -2.0; Número de vezes em que aparece= 2
Chave= ate; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 11
Chave= redmond; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= affff; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= diazinhoo; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= ttbr; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= superfones; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= viajar; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= ataca; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= hahahahahahah; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= semana; Valor= 0; Escore Total= 2.0; Número de vezes em que aparece= 6
Chave= descobrir; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= torta; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= twiteiros; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= guerra; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= soudev; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= demora; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= auhsuahsuahs; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= vergonha; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= sonifero; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= arthur; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= traira; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= povinho; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= firme; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= cantar; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= beliebers; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= prazo; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= comportada; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= copa; Valor= 0; Escore Total= -2.0; Número de vezes em que aparece= 21
Chave= enchido; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= amigoecglobal; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= poskaopksa; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= amores; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= cenas; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= papiis; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= sofreu; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= presente; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= tanto; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= ficaram; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= escalarem; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= ficando; Valor= -1; Escore Total= -2.0; Número de vezes em que aparece= 2
Chave= prestam; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= yay; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= publicou; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= bolsa; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= olhando; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= pobre; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= vestida; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= experimento; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= sobrinho; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= confiaveis; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= fodase; Valor= -1; Escore Total= -3.0; Número de vezes em que aparece= 3
Chave= perfeitoo; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= corre; Valor= -1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= utilizacao; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= happybirthdaymario; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= link; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= mandava; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= inscricoes; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= hahah; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= odeiam; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= praa; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= maiores; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= incrivel; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= arranja; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= outros; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= apartamento; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= hahart; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= empennhar; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= wesleyiporti; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= entrando; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= falandoo; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= dorminid; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= tive; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= relembrando; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= era; Valor= 0; Escore Total= 3.0; Número de vezes em que aparece= 7
Chave= cedo; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 3
Chave= saudade; Valor= -1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= mudar; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= consegui; Valor= 0; Escore Total= 2.0; Número de vezes em que aparece= 4
Chave= domigaodofaustao; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= passado; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= soumanodomano; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= driver; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= presidente; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= maravilhosa; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= teras; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= cybershot; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= pista; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= inegavel; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= peixe; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= xale; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= chato; Valor= -1; Escore Total= -5.0; Número de vezes em que aparece= 5
Chave= digo; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= assisto; Valor= -1; Escore Total= -2.0; Número de vezes em que aparece= 2
Chave= hsuahsua; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= fumando; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= backwash; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= irmaozinho; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= normal; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= laptop; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 4
Chave= world; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= bioquimica; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= esqueci; Valor= -1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= compexanos; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= dia; Valor= 0; Escore Total= 17.0; Número de vezes em que aparece= 42
Chave= multishow; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= fosse; Valor= 0; Escore Total= -2.0; Número de vezes em que aparece= 7
Chave= num; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 3
Chave= assisti; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= esquece; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= meses; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 2
Chave= situacao; Valor= 0; Escore Total= -2.0; Número de vezes em que aparece= 3
Chave= maravilhoso; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= comoquando; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= dificuldades; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= assiste; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 2
Chave= esqueca; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= league; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 21
Chave= mostra; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= maquinas; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= psnetwork; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= cabreiro; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= predator; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= conceito; Valor= 1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= dane; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= ufc; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= batizado; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= intervalo; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= quinta; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= lcd; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 3
Chave= voo; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= santana; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 2
Chave= uff; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= dezembro; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= canso; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= ruas; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= danca; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= tercafeira; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= seguindo; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 4
Chave= elas; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= review; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= mlkada; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= fita; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= dance; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 2
Chave= linhas; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= vou; Valor= 0; Escore Total= 12.0; Número de vezes em que aparece= 44
Chave= tomou; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= filtro; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= ilustres; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= html; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= copiar; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 2
Chave= gyms; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= indiquem; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= filminho; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 2
Chave= exemplares; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= criatividade; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= bjssss; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= imagineday; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= bianca; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= twittersaiba; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= multilojacom; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 4
Chave= voz; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= diz; Valor= 0; Escore Total= -2.0; Número de vezes em que aparece= 3
Chave= ligou; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= queriia; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= ibccabo; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= bola; Valor= 0; Escore Total= -1.0; Número de vezes em que aparece= 4
Chave= disponibilizando; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= estudante; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= television; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= terceira; Valor= 1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= grande; Valor= 0; Escore Total= 4.0; Número de vezes em que aparece= 8
Chave= canta; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= namoraaaaaaaaal; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= deslumbramento; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= akii; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= bold; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= roubo; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= equivale; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= avo; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= usar; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 2
Chave= camila; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= vamoooossss; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= ciumes; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= computadores; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= lances; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= indo; Valor= 0; Escore Total= 2.0; Número de vezes em que aparece= 6
Chave= eguamolek; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= apos; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= obtem; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= dela; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= premiomultishow; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= desculpa; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= dele; Valor= 0; Escore Total= -1.0; Número de vezes em que aparece= 6
Chave= escala; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= diia; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= uhuuuu; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
